"ID","MOVIE_NAME","LANGUAGE","IMBD_RATING","YEAR_OF_RELEASE","MATURITY_RATING","MINUTES"
233,"Bandhuvulostunnaru Jagratha","Telugu",6.8,1989,"All",120
234,"Troop Zero","English",6.9,2020,"7+",97
235,"Cowgirls 'n Angels 2: Dakota's Summer","English",5.6,2014,"13+",90
236,"Around The World In 80 Days","English",5.9,2004,"7+",119
237,"Horns","English",6.5,2014,"18+",115
238,"Book of Shadows: The Blair Witch 2","English",4,2000,"18+",90
239,"Pokkiri Raja","Tamil",6.2,1982,"All",138
240,"Miyyav","Kannada",5.5,2002,"NR",100
242,"Lacchimdeviki O Lekkundi","Telugu",5.2,2016,"13+",107
245,"Salaam Namaste","Hindi",6.2,2005,"13+",158
248,"Prematho Mee Karthik","Telugu",6.6,2017,"All",115
250,"Overtake","Malayalam",6.8,2017,"All",119
251,"Short Term 12","English",8,2013,"18+",96
252,"People Like Us","English",7.1,2012,"16+",114
254,"UNTRACEABLE","English",6.2,2008,"13+",96
255,"Chaos Theory","Malayalam",6.6,2018,"All",17
256,"Maharasan","Tamil",6.2,1993,"NR",144
258,"Encounter - The Killing","Hindi",6.3,2002,"13+",146
259,"Agnipankh","Hindi",4.5,2004,"All",134
261,"Fantastic Beasts and Where to Find Them","Telugu",7.3,2016,"13+",132
262,"Rathaavara","Kannada",6.5,2015,"13+",131
263,"The Ninth Configuration","English",7,1980,"18+",117
264,"Sneham","Malayalam",6.8,1998,"NR",134
265,"2016 The End","Hindi",5.8,2017,"13+",121
266,"Beautiful Boy","English",7.3,2018,"18+",120
267,"Rocket Singh Salesman of the Year","Hindi",7.5,2009,"13+",154
268,"Aparajito","Bengali",8.4,2017,"13+",93
269,"Sivakasi","Tamil",5.3,2005,"All",175
270,"Big Game","Tamil",5.4,2015,"16+",87
271,"Terminator Genisys","English",6.3,2015,"13+",125
272,"Unrelated","English",6.8,2007,"NR",95
273,"Welcome","Hindi",6.9,2007,"13+",149
274,"Gangs of Wasseypur Part 1","Hindi",8.2,2012,"18+",161
276,"GAMBIT","English",5.7,2013,"13+",89
278,"Rajavinte Makan","Malayalam",7.6,1986,"NR",128
282,"Mahanati (Telugu)","Telugu",8.5,2018,"All",170
283,"Yatra (Malayalam)","Malayalam",8.2,2019,"All",125
284,"Cat in the Hat","English",4,2003,"7+",81
285,"Kirdar E Sardar","Punjabi",7.2,2017,"13+",136
286,"Alvin and the Chipmunks: The Squeakquel","English",4.5,2009,"All",88
287,"Touring Talkies","English",7.7,2020,"13+",52
289,"Gold","Hindi",7.3,2018,"13+",145
290,"Baap Re Baap Dokyala Taap","Marathi",6,2008,"All",140
291,"Rapture-Palooza","English",5.2,2013,"18+",84
294,"C.B.I. Shankar","Kannada",7.7,1989,"NR",130
295,"Billa No. 786","Hindi",4.5,2001,"NR",140
296,"Darna Mana Hai","Hindi",6.3,2003,"18+",116
297,"Vivaha Bhojanambu","Telugu",7.7,1988,"NR",138
298,"Hear No Evil","English",5.1,1993,"18+",96
299,"Homefront","Telugu",6.5,2013,"18+",96
300,"Bobbili Brahmanna","Telugu",5.4,1984,"NR",122
301,"Hum Ho Gaye Aap Ke","Hindi",4.2,2001,"13+",157
303,"Okkadu","Telugu",8,2003,"NR",155
304,"The Collection","English",6.1,2012,"18+",77
310,"Bazaar","Kannada",5.9,2019,"13+",147
311,"It Happened One Christmas","English",6.2,1977,"13+",110
313,"Silly Fellows","Telugu",6,2018,"All",123
314,"Kaya Hiner Kahini","Bengali",6.9,1973,"NR",113
316,"Chitchor","Hindi",7.5,1976,"All",102
318,"Hit (The First Case)","Telugu",7.7,2020,"13+",128
319,"Srinivasa Kalyanam","Hindi",6.1,2018,"All",122
320,"Shuddh Desi Romance","Hindi",5.8,2013,"13+",126
322,"The Bongs Again","Bengali",5.5,2017,"13+",116
323,"Mettukudi","Tamil",6.6,1996,"All",135
324,"Touch Chesi Chudu","Telugu",4.8,2018,"13+",141
326,"Zenda","Marathi",7,2009,"13+",121
329,"Padmaavat","Telugu",7,2018,"13+",162
333,"Looper","English",7.4,2012,"18+",114
