id,Movie Name,Language,IMDb Rating,Year of Release,Maturity Rating,Minutes
0,John Rambo,Tamil,7.0,2008,18+,86.0
1,American Pie,English,7.0,1999,18+,95.0
2,Bombshell,English,6.8,2019,18+,108.0
3,Love Birds,Tamil,5.1,1996,All,160.0
4,Hippi,Telugu,5.0,2019,18+,140.0
6,Ayyaa,Tamil,5.7,2005,All,159.0
8,Gandhi Fer Aa Gea,Punjabi,4.9,2020,13+,133.0
9,Premada Vayasu,Kannada,6.0,1997,NR,116.0
10,Tum Se Achcha Kaun Hai,Hindi,4.5,2002,All,141.0
11,Swamy,Kannada,6.0,2005,All,154.0
12,Ekkees Tareekh Shubh Muhurat,Hindi,5.7,2018,All,93.0
13,Sealers: One Last Hunt,English,7.7,2020,13+,56.0
15,Project Almanac,English,6.4,2015,13+,106.0
17,Ghost Stories,English,6.4,2018,18+,93.0
19,Jaani Dushman: Ek Anokhi Kahani,Hindi,2.8,2002,13+,152.0
21,Akashadoothu,Malayalam,7.4,1993,All,133.0
22,Mera Pind: My Home,Punjabi,6.6,2008,All,164.0
24,300: Rise of an Empire,Tamil,6.2,2014,18+,102.0
25,Nana Mama,Marathi,5.8,2006,All,139.0
26,Hutututu Aavi Ramat Ni Rutu,Gujarati,7.2,2016,All,133.0
27,Uss Din,Hindi,7.4,2010,18+,11.0
28,Edge of Obedience,English,8.6,2020,13+,51.0
31,Kanhaiya Ek Yodha (Hindi),Hindi,4.7,2019,13+,116.0
32,Yajamana,Kannada,6.7,2019,13+,161.0
33,Sketch,Telugu,5.7,2018,13+,133.0
34,Toonpur Ka Superrhero,Hindi,4.2,2010,NR,95.0
35,Pinky Mogewali,Punjabi,3.7,2012,13+,134.0
36,Ong-Bak: Muay Thai Warrior,English,7.2,2005,16+,100.0
38,Great Sardaar,Punjabi,5.2,2017,13+,108.0
40,Open Water,English,5.7,2004,18+,79.0
41,Prema Kama,Kannada,5.9,1978,NR,98.0
42,Jhankaar Beats,Hindi,7.2,2003,18+,131.0
44,Law Abiding Citizen,Tamil,7.4,2009,18+,104.0
46,48 Hrs.,English,6.9,1982,18+,96.0
47,K.G.F: Chapter 1 (Malayalam),Malayalam,8.2,2018,13+,154.0
48,Stronger (2017),English,6.9,2017,18+,119.0
49,Teen Cup Chaa,Bengali,5.7,2018,13+,47.0
50,Ramgarh Ke Sholay,Hindi,4.8,1991,All,124.0
51,Parampara,Hindi,5.7,1993,13+,148.0
52,Manmatha Raja,Kannada,5.1,1989,NR,129.0
56,Dash Mash Dash Diner Galpo,Bengali,5.7,2019,All,114.0
57,Bodhai Yeri Budhi Maari,Tamil,6.4,2019,13+,117.0
61,Pagadi Aattam,Tamil,5.7,2017,All,122.0
62,World War Z,Hindi,7.0,2013,13+,116.0
63,Joy of Data,English,6.9,2016,13+,59.0
64,Faasle,Hindi,4.6,1985,16+,146.0
65,Vasudev Balwant Phadke,Marathi,6.5,2007,All,126.0
68,Thinkalaazhcha Nalla Divasam,Malayalam,7.2,1985,All,119.0
73,Greenfingers,English,6.8,2001,18+,91.0
74,Vitamin She,Gujarati,5.7,2017,13+,137.0
76,Chaduranga,Kannada,6.1,1985,NR,138.0
77,Mugavaree,Tamil,7.2,2000,All,156.0
78,Qatil,Hindi,6.0,1988,13+,140.0
79,Noor Jahan,Bengali,5.3,2018,13+,142.0
81,Aftermath,English,5.7,2017,16+,93.0
82,Ranjha Refugee,Punjabi,5.5,2018,All,122.0
83,Jab Tak Hai Jaan,Hindi,6.7,2012,13+,176.0
85,Partner,Hindi,5.7,2007,NR,142.0
86,Daphne,English,6.1,2017,18+,87.0
87,Urumbukal Urangarilla,Malayalam,6.4,2015,13+,133.0
89,Jayasimha,Kannada,7.1,1987,NR,141.0
90,Despicable Me,Hindi,7.6,2010,7+,94.0
91,Mud,English,7.4,2012,16+,130.0
92,Mere Yaar Ki Shaadi Hai,Hindi,5.3,2002,All,159.0
93,Homefront,English,6.5,2013,18+,96.0
94,Gladiator,English,8.5,2000,18+,154.0
96,De Dana Dan,Hindi,5.4,2009,NR,167.0
97,Rockstar,Hindi,7.7,2011,NR,157.0
98,The Pursuit of Happyness,English,8.0,2006,All,117.0
99,Baba Taraknath,Bengali,5.5,1977,All,150.0
100,Rajlakshmi O Srikanta,Bengali,6.2,2017,13+,132.0
101,Surya IPS,Telugu,6.9,1991,NR,143.0
102,Dil Jo Na Keh Saka,Hindi,5.4,2017,13+,125.0
104,Gatham (Kannada),Kannada,6.1,2020,18+,101.0
105,Dirty Dancing,English,7.0,1987,13+,100.0
106,Gatham (Malayalam),Malayalam,6.1,2020,18+,101.0
107,Ishhya,Marathi,5.5,2006,All,119.0
109,Universal Soldier: Day of Reckoning,Telugu,5.0,2012,18+,105.0
110,Manikarnika: The Queen of Jhansi,Tamil,6.4,2019,16+,140.0
111,Rowdy Baadshah,Hindi,6.4,2014,13+,130.0
113,Dare,Telugu,5.8,2011,NR,145.0
115,Sugar Salt Ani Prem,Marathi,6.2,2015,All,125.0
116,Evil Eye,English,4.7,2020,16+,89.0
117,Swarg,Hindi,6.7,1990,All,151.0
118,Poojaikku Vantha Malar,Tamil,7.5,1965,NR,161.0
121,Nayakan,Tamil,8.6,1987,18+,156.0
122,Twister,Hindi,6.4,1996,13+,113.0
123,Bal Ganesh 3 (Tamil),Tamil,5.2,2015,7+,68.0
124,Goonda,Telugu,7.0,1984,NR,137.0
126,LOL,English,4.4,2012,16+,92.0
129,Robin Hood,English,6.6,2010,13+,140.0
130,Mardaani,Hindi,7.3,2014,18+,113.0
